Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Year,date_year
0,0,0,0,0.0,0,0,0,0,0,0,AK,2008,2008-01-01
0,0,0,0,0.0,15,0,0,23,0,38,AL,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,AR,2008,2008-01-01
0,0,0,0,0.0,0,0,56,0,0,56,AZ,2008,2008-01-01
0,90,1509,38,0.0,40,0,54,465,14,2379,CA,2008,2008-01-01
0,1,1173,541,0.0,0,0,3,0,21,1898,CO,2008,2008-01-01
0,17,90,0,0.0,13,0,0,0,0,126,CT,2008,2008-01-01
0,0,164,0,0.0,4,0,0,0,0,229,DC,2008,2008-01-01
0,37,1278,250,0.0,0,0,0,985,0,2604,DE,2008,2008-01-01
0,0,0,102,0.0,4,15,0,90,0,211,FL,2008,2008-01-01
20,0,88,1990,0.0,22,52,6,2356,10,4806,GA,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,HI,2008,2008-01-01
404,239,154,14062,0.0,0,0,0,47,0,14906,IA,2008,2008-01-01
0,0,0,0,0.0,0,0,0,2,0,2,ID,2008,2008-01-01
0,0,88,20,0.0,6,0,64,91,0,280,IL,2008,2008-01-01
0,4,108,11,0.0,3,0,0,1,0,312,IN,2008,2008-01-01
0,10,0,500,0.0,0,0,0,4,0,514,KS,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,KY,2008,2008-01-01
0,0,0,0,0.0,9,38,0,12,0,145,LA,2008,2008-01-01
0,63,646,532,0.0,16,4,187,502,0,2647,MA,2008,2008-01-01
0,3,7206,1169,0.0,330,0,144,651,0,9650,MD,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,8,ME,2008,2008-01-01
0,0,6394,0,0.0,42,0,0,0,42,6478,MI,2008,2008-01-01
0,20,87,0,0.0,0,0,0,6,0,330,MN,2008,2008-01-01
0,0,0,1799,0.0,0,0,0,0,0,1810,MO,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,MS,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,MT,2008,2008-01-01
0,0,326,0,0.0,13,0,36,19,0,394,NC,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,ND,2008,2008-01-01
1,1,20,977,0.0,0,0,0,0,0,1077,NE,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,NH,2008,2008-01-01
0,323,1428,485,0.0,92,0,0,141,0,3161,NJ,2008,2008-01-01
0,0,0,0,0.0,187,0,0,185,0,631,NM,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,NV,2008,2008-01-01
151,386,3676,4685,0.0,11,20,0,74,0,9133,NY,2008,2008-01-01
0,19,1480,265,0.0,142,0,0,412,0,2703,OH,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,OK,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,29,OR,2008,2008-01-01
6,215,791,0,0.0,46,0,377,466,0,2224,PA,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,PR,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,RI,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,119,SC,2008,2008-01-01
0,0,0,0,0.0,0,0,94,4,0,98,SD,2008,2008-01-01
0,13,0,0,0.0,0,0,63,40,0,342,TN,2008,2008-01-01
0,0,1170,858,0.0,26,49,0,321,0,2524,TX,2008,2008-01-01
0,0,675,3211,0.0,0,0,0,0,0,3886,UT,2008,2008-01-01
0,9,0,178,0.0,16,0,0,15,0,218,VA,2008,2008-01-01
0,0,50,0,0.0,0,0,0,0,0,50,VT,2008,2008-01-01
0,0,128,0,0.0,0,0,0,0,0,128,WA,2008,2008-01-01
0,4,2,0,0.0,0,0,0,11,2,183,WI,2008,2008-01-01
0,0,0,0,0.0,0,0,0,58,0,58,WV,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,WY,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,AK,2009,2009-01-01
0,0,0,0,0.0,76,30,0,18,0,162,AL,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,AR,2009,2009-01-01
0,0,0,0,0.0,0,0,28,0,0,34,AZ,2009,2009-01-01
0,26,1757,84,0.0,59,0,0,305,0,2932,CA,2009,2009-01-01
0,22,1238,388,0.0,12,0,0,2,10,1773,CO,2009,2009-01-01
0,20,200,0,0.0,34,0,0,0,0,254,CT,2009,2009-01-01
0,0,282,0,0.0,0,0,0,0,0,297,DC,2009,2009-01-01
0,6,506,590,0.0,0,0,0,131,0,1258,DE,2009,2009-01-01
0,0,0,154,0.0,2,0,0,254,0,413,FL,2009,2009-01-01
10,0,287,2307,0.0,10,29,12,1792,0,4653,GA,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,HI,2009,2009-01-01
85,98,101,12882,0.0,0,0,0,0,0,13166,IA,2009,2009-01-01
0,0,0,0,0.0,0,0,0,15,0,15,ID,2009,2009-01-01
0,1,179,8,0.0,0,0,152,176,0,517,IL,2009,2009-01-01
0,0,168,0,0.0,0,0,0,0,0,268,IN,2009,2009-01-01
0,0,0,256,0.0,16,0,0,4,0,276,KS,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,KY,2009,2009-01-01
0,0,0,0,0.0,23,0,0,0,0,117,LA,2009,2009-01-01
0,13,439,369,0.0,13,4,108,317,0,1516,MA,2009,2009-01-01
0,8,7762,1009,0.0,570,0,153,536,0,10199,MD,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,18,ME,2009,2009-01-01
0,0,7725,0,0.0,82,0,0,63,47,7917,MI,2009,2009-01-01
0,26,89,0,0.0,0,0,0,3,0,533,MN,2009,2009-01-01
1,0,0,2262,0.0,0,0,0,30,0,2396,MO,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,MS,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,MT,2009,2009-01-01
0,0,364,0,0.0,14,0,5,28,0,411,NC,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,ND,2009,2009-01-01
1,1,28,613,0.0,0,0,0,0,0,838,NE,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,NH,2009,2009-01-01
1,228,1830,799,0.0,133,0,1,599,0,3869,NJ,2009,2009-01-01
0,0,19,0,0.0,155,0,0,128,0,396,NM,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,NV,2009,2009-01-01
65,191,2299,5071,0.0,13,75,0,17,0,7935,NY,2009,2009-01-01
0,16,1413,187,0.0,425,0,0,329,0,2504,OH,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,4,OK,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,OR,2009,2009-01-01
7,117,560,0,0.0,58,0,0,418,0,1534,PA,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,PR,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,RI,2009,2009-01-01
0,0,0,25,0.0,0,0,0,0,0,36,SC,2009,2009-01-01
0,0,0,0,0.0,0,0,119,0,0,119,SD,2009,2009-01-01
0,0,0,0,0.0,0,0,27,2,0,377,TN,2009,2009-01-01
10,7,1635,567,0.0,0,92,0,396,0,2758,TX,2009,2009-01-01
0,0,1532,4572,0.0,0,0,0,0,0,6104,UT,2009,2009-01-01
0,0,0,360,0.0,16,0,0,0,0,376,VA,2009,2009-01-01
0,0,264,0,0.0,0,0,0,0,0,264,VT,2009,2009-01-01
0,0,98,0,0.0,0,0,0,0,0,113,WA,2009,2009-01-01
0,2,0,0,0.0,0,2,0,2,0,45,WI,2009,2009-01-01
0,0,0,0,0.0,0,0,0,44,0,44,WV,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,WY,2009,2009-01-01
0,0,0,0,0.0,0,0,0,0,0,0,AK,2010,2010-01-01
0,0,65,0,0.0,76,0,0,87,0,403,AL,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,AR,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,AZ,2010,2010-01-01
0,48,219,19,0.0,55,0,0,399,0,2465,CA,2010,2010-01-01
0,0,1148,579,0.0,0,0,0,0,9,2058,CO,2010,2010-01-01
0,50,0,0,0.0,50,0,0,0,0,100,CT,2010,2010-01-01
0,0,306,0,0.0,4,0,0,0,0,347,DC,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,DE,2010,2010-01-01
0,3,40,48,0.0,0,0,0,149,0,240,FL,2010,2010-01-01
6,0,16,2004,0.0,4,3,0,1619,0,3981,GA,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,HI,2010,2010-01-01
0,0,159,8473,0.0,0,0,0,0,1,8633,IA,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,ID,2010,2010-01-01
0,0,222,14,0.0,0,10,289,231,0,766,IL,2010,2010-01-01
0,0,0,4,0.0,0,0,0,0,0,32,IN,2010,2010-01-01
0,0,0,374,0.0,8,0,0,0,0,382,KS,2010,2010-01-01
0,0,0,0,0.0,0,7,0,0,0,31,KY,2010,2010-01-01
0,0,0,0,0.0,63,0,0,32,0,190,LA,2010,2010-01-01
0,2,449,921,0.0,27,2,127,80,0,2112,MA,2010,2010-01-01
0,7,8178,1942,0.0,401,6,145,575,0,11362,MD,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,18,ME,2010,2010-01-01
0,0,10430,0,0.0,85,0,1,0,52,10568,MI,2010,2010-01-01
0,5,896,0,0.0,4,0,0,341,0,1645,MN,2010,2010-01-01
105,0,110,20945,0.0,0,0,0,54,0,21306,MO,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,MS,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,MT,2010,2010-01-01
4,6,256,0,0.0,0,0,15,0,0,281,NC,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,ND,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,207,NE,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,NH,2010,2010-01-01
0,228,1612,1511,0.0,72,0,0,876,0,4325,NJ,2010,2010-01-01
0,0,33,0,0.0,167,0,0,126,0,749,NM,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,NV,2010,2010-01-01
15,316,3183,5163,0.0,44,54,0,50,0,9052,NY,2010,2010-01-01
0,7,1178,232,0.0,285,0,0,483,0,2394,OH,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,105,OK,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,OR,2010,2010-01-01
3,16,472,0,0.0,29,0,62,492,0,1381,PA,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,PR,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,RI,2010,2010-01-01
0,0,0,24,0.0,0,0,0,0,0,35,SC,2010,2010-01-01
0,0,0,0,0.0,0,0,110,0,0,110,SD,2010,2010-01-01
0,0,0,0,0.0,0,0,21,0,0,611,TN,2010,2010-01-01
20,0,2555,456,0.0,0,102,0,392,3,3600,TX,2010,2010-01-01
0,0,1975,5126,0.0,0,0,0,0,0,7101,UT,2010,2010-01-01
0,0,0,180,0.0,21,0,0,0,0,201,VA,2010,2010-01-01
0,0,72,0,0.0,0,0,0,0,0,73,VT,2010,2010-01-01
0,9,78,0,0.0,0,0,0,10,0,97,WA,2010,2010-01-01
0,0,0,0,0.0,0,3,0,0,0,162,WI,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,WV,2010,2010-01-01
0,0,0,0,0.0,0,0,0,0,0,0,WY,2010,2010-01-01
0,0,0,0,,0,0,0,0,0,0,AK,2011,2011-01-01
0,0,66,0,,89,0,0,26,0,298,AL,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,AR,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,AZ,2011,2011-01-01
0,2,460,91,,76,0,0,271,0,2135,CA,2011,2011-01-01
12,15,798,381,,0,0,0,1,10,1305,CO,2011,2011-01-01
0,49,0,27,,45,0,0,0,0,121,CT,2011,2011-01-01
0,0,670,0,,0,0,0,0,0,992,DC,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,DE,2011,2011-01-01
0,4,42,33,,9,0,0,18,0,108,FL,2011,2011-01-01
0,0,129,2839,,14,0,0,1450,0,4928,GA,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,HI,2011,2011-01-01
0,12,182,8933,,0,300,0,0,23,9450,IA,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,ID,2011,2011-01-01
15,0,245,88,,0,0,32,39,0,441,IL,2011,2011-01-01
0,0,48,2,,0,0,0,0,0,94,IN,2011,2011-01-01
0,1,0,0,,5,0,0,0,0,6,KS,2011,2011-01-01
0,0,0,0,,0,0,0,2,0,80,KY,2011,2011-01-01
0,0,0,0,,41,0,0,29,0,275,LA,2011,2011-01-01
0,4,401,1448,,29,0,37,152,0,2432,MA,2011,2011-01-01
0,8,7231,1327,,344,3,157,265,0,9493,MD,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,8,ME,2011,2011-01-01
0,0,10934,0,,88,0,40,0,356,11418,MI,2011,2011-01-01
0,0,131,0,,4,0,0,38,0,262,MN,2011,2011-01-01
146,126,0,25305,,0,0,0,31,0,25648,MO,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,MS,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,MT,2011,2011-01-01
0,0,166,0,,0,0,35,0,0,201,NC,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,ND,2011,2011-01-01
0,0,0,0,,0,0,0,21,0,21,NE,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,NH,2011,2011-01-01
30,156,1515,2058,,147,0,0,773,0,4679,NJ,2011,2011-01-01
0,0,126,0,,300,0,0,38,0,649,NM,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,NV,2011,2011-01-01
54,159,2292,5301,,7,0,0,43,0,8047,NY,2011,2011-01-01
0,0,501,206,,184,0,0,477,0,1527,OH,2011,2011-01-01
0,0,0,0,,6,0,0,0,0,120,OK,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,10,OR,2011,2011-01-01
2,12,234,0,,18,0,1545,411,0,2514,PA,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,PR,2011,2011-01-01
0,0,0,0,,0,0,0,0,0,0,RI,2011,2011-01-01
0,0,0,28,,0,0,0,0,0,39,SC,2011,2011-01-01
0,0,0,0,,0,0,133,0,0,133,SD,2011,2011-01-01
