"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
AK,981,202,41,8,183,0,0,0,0,0,0,"1,415"
AL,"1,542",281,"1,692",174,216,0,"1,338","1,155",897,"1,046",59,"8,400"
AR,49,97,289,244,17,0,135,103,238,721,0,"1,893"
AZ,"2,615",257,553,207,17,0,46,52,498,334,40,"4,619"
CA,"10,550","1,567","2,899","25,119","6,253",0,"3,710","7,320","4,167","47,941","1,650","111,176"
CO,"1,670",371,546,"4,402","1,926",0,0,228,743,469,658,"11,013"
CT,"1,330",32,434,511,493,0,292,0,615,344,5,"4,056"
DC,"11,941",70,24,384,373,0,269,33,"1,090",148,23,"14,355"
DE,158,328,307,"4,083",570,0,0,385,70,"17,285",477,"23,663"
FL,"3,014",354,332,504,496,0,481,774,972,460,194,"7,581"
GA,"10,081",792,"1,835",904,"9,523",0,"2,888",201,"1,228","4,099",85,"31,636"
HI,6,2,0,24,23,0,1,0,67,14,0,137
IA,"1,876","1,916","1,828","5,370","38,016",0,36,"1,680","1,259","4,342",571,"56,894"
ID,281,8,27,0,0,0,0,48,1,34,31,430
IL,"3,622",987,"2,727","2,583","2,548",0,723,967,"1,841","5,300","1,225","22,523"
IN,"2,448",157,"1,586","1,175","1,525",0,456,219,"1,088","2,015",61,"10,730"
KS,297,573,"1,302",652,671,0,247,105,132,649,170,"4,798"
KY,16,49,149,333,404,0,114,52,404,868,38,"2,427"
LA,997,200,514,7,285,0,"2,672",247,233,706,0,"5,861"
MA,"5,047",107,"3,936","22,384","8,453",0,"7,188",325,"5,507","15,148",878,"68,973"
MD,"7,984",108,"1,035","18,872","7,490",0,"7,001",570,"1,898","5,769",417,"51,144"
ME,558,0,0,0,0,0,0,383,35,199,2,"1,177"
MI,"2,867",456,"8,168","12,716",909,0,"4,743",406,"2,528","6,437",569,"39,799"
MN,"2,220","1,434","2,885","17,683",416,0,326,"1,016","4,255","6,890",982,"38,107"
MO,541,"1,433","2,074","4,677","8,554",0,208,354,"1,999","3,356",125,"23,321"
MS,6,7,67,42,12,0,67,37,123,890,0,"1,251"
MT,40,5,0,22,407,0,5,79,0,557,45,"1,160"
NC,"1,043","1,197","1,912","8,570",695,0,"1,665","4,561","2,981","3,407",414,"26,445"
ND,41,163,31,2,2,0,0,108,20,"1,431",368,"2,166"
NE,"2,029",472,"1,010","1,412","7,688",0,70,239,303,"1,144",20,"14,387"
NH,193,11,0,13,183,0,12,0,206,2,41,661
NJ,"3,464",148,"5,791","27,524","2,629",0,"3,951",20,"1,120","11,050",21,"55,718"
NM,388,59,232,98,24,0,432,0,21,402,0,"1,656"
NV,946,2,68,97,0,0,0,134,7,70,110,"1,434"
NY,"6,117","2,077","4,292","14,234","36,283",0,"1,352",610,"1,693","12,545",370,"79,573"
OH,"5,790",931,"4,651","17,976","3,604",0,"2,102",386,"5,037","13,028",185,"53,690"
OK,614,99,792,449,25,0,83,114,29,425,52,"2,682"
OR,"1,138",24,56,887,71,0,"2,584",177,759,378,213,"6,287"
PA,"3,259","1,819","5,798","13,424","1,889",0,"4,258","1,618","2,582","37,798",782,"73,227"
PR,0,0,0,0,92,0,"3,056",0,51,3,0,"3,202"
RI,553,21,0,282,265,0,30,222,258,739,113,"2,483"
SC,572,236,314,279,149,0,32,55,289,366,11,"2,303"
SD,150,18,13,4,85,0,52,672,142,105,76,"1,317"
TN,"1,862",165,535,278,"1,232",0,266,301,"1,178",365,11,"6,193"
TX,"11,256",423,"1,233","10,966","2,863",0,"5,279","3,782","3,050","16,987",741,"56,580"
UT,792,101,295,922,"3,952",0,5,24,261,992,246,"7,590"
VA,"2,451",66,341,403,322,0,167,108,"5,254",857,21,"9,990"
VT,75,20,19,399,0,0,0,4,22,120,"1,528","2,187"
WA,860,177,899,"4,148",352,0,"3,939",192,453,"1,311",19,"12,350"
WI,"1,949",238,"6,724","2,179","1,385",0,"8,969",274,"1,157","5,055",305,"28,235"
WV,30,36,16,0,25,0,6,0,0,195,108,416
WY,159,9,33,3,12,0,0,31,2,12,226,487
"REPORTTOTAL","118,468","20,305","70,305","227,629","153,607",0,"71,256","30,371","58,763","234,808","14,286","999,798"
"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
AK,426,0,6,0,190,0,0,0,0,0,0,622
AL,132,34,110,0,0,0,0,612,4,321,6,"1,219"
AR,92,69,22,15,0,0,34,0,0,0,0,232
AZ,144,8,26,0,0,0,38,1,12,32,3,264
CA,"1,870",409,118,735,60,0,"6,009","4,473",45,"4,438",179,"18,336"
CO,358,253,4,423,103,0,0,0,0,0,0,"1,141"
CT,667,8,93,14,14,0,53,8,9,111,0,977
DC,"1,637",25,0,0,0,0,74,0,0,2,0,"1,738"
DE,0,0,0,80,0,0,0,48,0,"4,148",0,"4,276"
FL,643,0,6,0,51,0,"1,667",2,0,3,0,"2,372"
GA,238,11,2,0,"1,269",0,"1,667",0,1,9,0,"3,197"
HI,0,0,0,0,0,0,0,0,0,0,0,0
IA,120,1,295,2,50,0,1,461,123,5,96,"1,154"
ID,0,0,0,0,0,0,0,0,0,0,0,0
IL,291,88,162,25,9,0,177,73,6,161,41,"1,033"
IN,248,166,573,11,460,0,179,0,96,57,0,"1,790"
KS,175,33,211,52,53,0,24,4,0,52,0,604
KY,34,42,0,0,0,0,9,1,26,35,52,199
LA,223,25,32,0,57,0,"9,460",166,0,11,0,"9,974"
MA,870,9,104,9,963,0,"5,237",234,"1,054","2,306",43,"10,829"
MD,"8,710",13,7,827,"2,634",0,"6,075",41,38,303,45,"18,693"
ME,0,0,0,0,0,0,0,52,0,66,0,118
MI,75,45,"1,014","3,087",6,0,"1,143",0,362,462,64,"6,258"
MN,127,3,76,104,35,0,16,118,639,51,164,"1,333"
MO,449,310,309,72,0,0,3,195,611,0,39,"1,988"
MS,153,0,8,0,0,0,18,0,2,1,0,182
MT,0,0,0,0,0,0,0,0,0,10,21,31
NC,250,83,104,671,23,0,26,0,5,45,0,"1,207"
ND,0,0,0,0,0,0,0,0,0,70,172,242
NE,70,41,12,72,710,0,0,70,115,0,0,"1,090"
NH,0,0,0,0,0,0,0,0,106,0,0,106
NJ,347,0,502,402,274,0,"5,643",34,17,429,0,"7,648"
NM,440,1,51,47,88,0,20,0,0,35,0,682
NV,0,0,0,0,0,0,0,0,0,0,17,17
NY,867,3,47,204,"1,105",0,258,40,2,336,2,"2,864"
OH,"4,490",389,414,888,401,0,204,7,90,839,0,"7,722"
OK,45,2,13,8,6,0,591,13,8,21,0,707
OR,0,13,0,0,0,0,0,0,2,6,3,24
PA,"1,755",192,376,570,638,0,553,273,136,"1,863",252,"6,608"
PR,0,0,0,0,0,0,"1,139",0,0,0,0,"1,139"
RI,104,1,0,19,36,0,1,16,24,3,41,245
SC,"5,787",0,120,0,52,0,"3,584",0,0,0,0,"9,543"
SD,0,0,0,0,0,0,8,354,0,12,222,596
TN,339,50,0,0,243,0,0,0,0,0,0,632
TX,"1,352",0,290,244,197,0,"6,631",523,77,"2,096",102,"11,512"
UT,4,0,0,0,0,0,0,0,27,115,3,149
VA,630,3,4,0,153,0,3,3,213,48,6,"1,063"
VT,0,0,0,0,0,0,0,0,0,0,0,0
WA,804,10,185,88,29,0,"3,193",100,3,757,0,"5,169"
WI,"2,863",2,"3,438",79,"1,127",0,"1,605",215,122,249,0,"9,700"
WV,0,0,0,0,0,0,0,0,0,0,0,0
WY,101,0,0,0,0,0,0,7,0,0,132,240
"REPORTTOTAL","37,930","2,342","8,734","8,748","11,036",0,"55,343","8,144","3,975","19,508","1,705","157,465"
"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
AK,336,0,39,0,159,0,0,0,0,0,0,534
AL,714,125,990,174,52,0,201,958,287,241,49,"3,791"
AR,37,97,288,33,17,0,60,65,100,222,0,919
AZ,"2,553",41,179,150,6,0,14,29,1,98,0,"3,071"
CA,"4,701",908,"1,459","18,168","1,959",0,639,"6,889",352,"35,467",204,"70,746"
CO,"1,022",193,254,"2,452",953,0,0,168,70,127,7,"5,246"
CT,"1,248",0,114,206,322,0,159,0,3,198,0,"2,250"
DC,"10,556",33,6,1,179,0,177,33,1,26,0,"11,012"
DE,5,266,212,"1,246",260,0,0,312,0,"10,743",22,"13,066"
FL,"1,977",32,100,19,24,0,136,665,40,21,10,"3,024"
GA,"5,426",354,"1,290",529,"4,248",0,800,91,299,"1,005",0,"14,042"
HI,6,2,0,0,0,0,1,0,0,14,0,23
IA,"1,309","1,076",945,"4,486","23,308",0,20,"1,559",709,121,436,"33,969"
ID,233,0,0,0,0,0,0,7,1,30,0,271
IL,"1,729",462,"1,015","1,744",34,0,197,700,"1,048","2,112",241,"9,282"
IN,590,60,622,90,0,0,288,16,366,629,2,"2,663"
KS,184,551,921,135,110,0,87,84,45,232,170,"2,519"
KY,5,21,28,170,0,0,0,0,20,51,0,295
LA,131,14,108,3,95,0,"1,173",185,0,49,0,"1,758"
MA,"3,032",6,"2,301","16,232","3,759",0,"5,065",148,"2,032","6,546",247,"39,368"
MD,"5,807",33,620,"4,264","1,584",0,"3,787",204,81,"3,296",91,"19,767"
ME,544,0,0,0,0,0,0,376,0,199,2,"1,121"
MI,"1,870",307,"6,739","4,995",323,0,"4,170",302,718,"3,566",222,"23,212"
MN,780,504,684,"1,880",103,0,113,743,"1,057",712,390,"6,966"
MO,235,"1,147","1,526","1,953","3,657",0,170,287,745,517,115,"10,352"
MS,0,1,0,0,0,0,22,13,40,100,0,176
MT,0,4,0,0,0,0,0,73,0,347,0,424
NC,634,333,925,"7,492",11,0,240,173,315,"2,116",20,"12,259"
ND,41,0,0,2,2,0,0,108,20,92,368,633
NE,"1,850",341,847,512,"4,310",0,34,72,92,30,20,"8,108"
NH,133,0,0,0,136,0,0,0,0,0,0,269
NJ,"1,638",99,"3,783","18,302",251,0,"2,139",2,41,"5,438",0,"31,693"
NM,80,0,90,0,24,0,0,0,4,44,0,242
NV,946,2,2,97,0,0,0,134,7,70,86,"1,344"
NY,"4,276","1,350","2,297","6,574","29,681",0,905,264,220,"1,964",1,"47,532"
OH,"1,212",369,"2,887","15,421","1,084",0,"1,237",53,224,"8,421",30,"30,938"
OK,435,61,260,330,0,0,0,8,4,207,52,"1,357"
OR,621,10,37,57,7,0,951,174,1,160,54,"2,072"
PA,"2,449","1,188","3,970","8,417","1,027",0,"2,781","1,080",652,"27,129",401,"49,094"
PR,0,0,0,0,0,0,"2,855",0,0,0,0,"2,855"
RI,376,10,0,109,0,0,1,211,175,350,76,"1,308"
SC,436,37,98,0,74,0,0,55,20,174,0,894
SD,128,18,13,4,85,0,5,260,28,5,45,591
TN,596,99,127,14,308,0,0,130,33,44,3,"1,354"
TX,"9,170",269,631,"4,097",883,0,"3,877","1,941",188,"5,865",211,"27,132"
UT,525,15,32,187,683,0,0,0,1,372,51,"1,866"
VA,"2,303",0,43,19,89,0,17,10,69,131,4,"2,685"
VT,75,1,0,349,0,0,0,0,0,53,573,"1,051"
WA,685,112,324,"3,653",176,0,"3,256",83,40,742,13,"9,084"
WI,697,17,"5,133","1,653",904,0,"7,231",196,318,"3,285",46,"19,480"
WV,22,0,0,0,6,0,0,0,0,25,0,53
WY,71,0,0,3,12,0,0,19,2,12,129,248
"REPORTTOTAL","74,429","10,568","41,939","126,222","80,905",0,"42,808","18,880","10,469","123,398","4,391","534,009"
"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
AK,645,202,2,8,24,0,0,0,0,0,0,881
AL,828,156,702,0,164,0,"1,122",197,610,782,10,"4,571"
AR,12,0,1,211,0,0,75,38,138,499,0,974
AZ,62,216,374,57,11,0,32,23,441,236,40,"1,492"
CA,"5,680",659,"1,350","5,442","4,256",0,"3,031",431,"3,761","12,009","1,432","38,051"
CO,489,178,291,777,432,0,0,60,670,342,630,"3,869"
CT,76,32,303,215,171,0,120,0,612,146,5,"1,680"
DC,"1,324",37,18,219,194,0,88,0,"1,089",122,23,"3,114"
DE,99,62,58,"1,559",60,0,0,73,70,"5,557",455,"7,993"
FL,"1,037",322,232,485,370,0,341,94,932,349,184,"4,346"
GA,"4,393",418,545,287,"3,285",0,"2,066",58,923,738,75,"12,788"
HI,0,0,0,24,23,0,0,0,67,0,0,114
IA,567,436,644,730,646,0,16,121,550,"4,174",135,"8,019"
ID,48,8,27,0,0,0,0,41,0,2,31,157
IL,"1,882",525,"1,712",751,"2,494",0,520,267,729,"3,097",984,"12,961"
IN,"1,673",97,960,977,"1,514",0,165,203,722,"1,385",59,"7,755"
KS,113,22,371,517,61,0,160,21,87,413,0,"1,765"
KY,11,28,121,163,404,0,114,52,384,817,38,"2,132"
LA,780,186,406,4,190,0,"1,490",24,233,645,0,"3,958"
MA,"1,318",101,"1,572","5,506","4,162",0,"2,107",173,"3,288","8,100",631,"26,958"
MD,"2,030",75,412,"7,402","4,737",0,"2,884",366,"1,673","1,822",326,"21,727"
ME,6,0,0,0,0,0,0,7,35,0,0,48
MI,997,149,"1,429","1,327",586,0,531,104,"1,810","2,871",305,"10,109"
MN,"1,223",930,"2,181","15,716",313,0,213,273,"3,198","6,172",592,"30,811"
MO,295,286,548,"2,724","3,098",0,38,67,"1,254","2,839",10,"11,159"
MS,6,6,67,42,12,0,45,24,83,790,0,"1,075"
MT,40,1,0,22,407,0,5,6,0,210,45,736
NC,409,864,987,752,684,0,"1,412","4,388","2,630","1,272",394,"13,792"
ND,0,163,31,0,0,0,0,0,0,"1,339",0,"1,533"
NE,101,130,162,880,"2,401",0,36,167,211,"1,114",0,"5,202"
NH,60,11,0,13,47,0,12,0,206,2,41,392
NJ,"1,134",49,"1,685","7,794","1,893",0,"1,720",18,"1,079","5,471",21,"20,864"
NM,49,59,142,98,0,0,245,0,17,173,0,783
NV,0,0,66,0,0,0,0,0,0,0,24,90
NY,"1,711",576,"1,609","3,984","1,917",0,436,326,"1,473","10,507",369,"22,908"
OH,"4,193",562,"1,745","1,075","2,255",0,723,333,"4,813","4,195",155,"20,049"
OK,179,38,532,119,25,0,83,106,25,218,0,"1,325"
OR,488,14,19,830,64,0,"1,633",3,758,218,159,"4,186"
PA,487,625,"1,613","4,216",862,0,"1,431",538,"1,553","10,203",381,"21,909"
PR,0,0,0,0,92,0,201,0,51,3,0,347
RI,177,11,0,173,265,0,29,11,83,389,37,"1,175"
SC,17,199,216,279,75,0,32,0,269,192,11,"1,290"
SD,22,0,0,0,0,0,47,412,20,96,31,628
TN,"1,040",66,395,264,924,0,266,171,"1,082",281,8,"4,497"
TX,"1,986",154,602,"5,699","1,122",0,"1,376","1,792","2,862","10,801",530,"26,924"
UT,267,86,263,60,58,0,5,24,260,620,195,"1,838"
VA,148,66,289,384,55,0,134,98,"5,185",711,17,"7,087"
VT,0,19,19,0,0,0,0,4,22,67,955,"1,086"
WA,175,65,575,367,176,0,683,109,413,569,6,"3,138"
WI,"1,088",221,"1,587",524,481,0,"1,738",78,839,"1,759",257,"8,572"
WV,8,36,16,0,19,0,6,0,0,112,108,305
WY,88,9,33,0,0,0,0,12,0,0,97,239
"REPORTTOTAL","39,461","9,155","26,912","72,676","41,029",0,"27,411","11,313","47,210","104,429","9,806","389,402"
"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
AK,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,15,0,0,23,0,38
AR,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,0,0,0,56,0,0,56
CA,169,0,90,"1,509",38,0,40,0,54,465,14,"2,379"
CO,159,0,1,"1,173",541,0,0,0,3,0,21,"1,898"
CT,6,0,17,90,0,0,13,0,0,0,0,126
DC,61,0,0,164,0,0,4,0,0,0,0,229
DE,54,0,37,"1,278",250,0,0,0,0,985,0,"2,604"
FL,0,0,0,0,102,0,4,15,0,90,0,211
GA,262,20,0,88,"1,990",0,22,52,6,"2,356",10,"4,806"
HI,0,0,0,0,0,0,0,0,0,0,0,0
IA,0,404,239,154,"14,062",0,0,0,0,47,0,"14,906"
ID,0,0,0,0,0,0,0,0,0,2,0,2
IL,11,0,0,88,20,0,6,0,64,91,0,280
IN,185,0,4,108,11,0,3,0,0,1,0,312
KS,0,0,10,0,500,0,0,0,0,4,0,514
KY,0,0,0,0,0,0,0,0,0,0,0,0
LA,86,0,0,0,0,0,9,38,0,12,0,145
MA,697,0,63,646,532,0,16,4,187,502,0,"2,647"
MD,147,0,3,"7,206","1,169",0,330,0,144,651,0,"9,650"
ME,8,0,0,0,0,0,0,0,0,0,0,8
MI,0,0,0,"6,394",0,0,42,0,0,0,42,"6,478"
MN,217,0,20,87,0,0,0,0,0,6,0,330
MO,11,0,0,0,"1,799",0,0,0,0,0,0,"1,810"
MS,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0
NC,0,0,0,326,0,0,13,0,36,19,0,394
ND,0,0,0,0,0,0,0,0,0,0,0,0
NE,78,1,1,20,977,0,0,0,0,0,0,"1,077"
NH,0,0,0,0,0,0,0,0,0,0,0,0
NJ,692,0,323,"1,428",485,0,92,0,0,141,0,"3,161"
NM,259,0,0,0,0,0,187,0,0,185,0,631
NV,0,0,0,0,0,0,0,0,0,0,0,0
NY,130,151,386,"3,676","4,685",0,11,20,0,74,0,"9,133"
OH,385,0,19,"1,480",265,0,142,0,0,412,0,"2,703"
OK,0,0,0,0,0,0,0,0,0,0,0,0
OR,29,0,0,0,0,0,0,0,0,0,0,29
PA,323,6,215,791,0,0,46,0,377,466,0,"2,224"
PR,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,0,0,0,0,0,0,0,0,0,0,0
SC,119,0,0,0,0,0,0,0,0,0,0,119
SD,0,0,0,0,0,0,0,0,94,4,0,98
TN,226,0,13,0,0,0,0,0,63,40,0,342
TX,100,0,0,"1,170",858,0,26,49,0,321,0,"2,524"
UT,0,0,0,675,"3,211",0,0,0,0,0,0,"3,886"
VA,0,0,9,0,178,0,16,0,0,15,0,218
VT,0,0,0,50,0,0,0,0,0,0,0,50
WA,0,0,0,128,0,0,0,0,0,0,0,128
WI,164,0,4,2,0,0,0,0,0,11,2,183
WV,0,0,0,0,0,0,0,0,0,58,0,58
WY,0,0,0,0,0,0,0,0,0,0,0,0
"REPORTTOTAL","4,578",582,"1,454","28,731","31,673",0,"1,037",178,"1,084","6,981",89,"76,387"
